Entity,Code,Day,containment_index(종합수치),school_closures(학교 폐쇄),workplace_closures(회사 폐쇄),cancel_public_events(공개행사 취소),restriction_gatherings(모임 제한),close_public_transport(대중교통폐쇄),stay_home_requirements(재택 요구),public_information_campaigns(홍보캠페인),restrictions_internal_movements(국내이동제한),international_travel_controls(국제여행제한),testing_policy(코로나 검사 정책),contact_tracing(접촉자 추적),facial_coverings(마스크 착용),vaccination_policy(백신 접종),"retail_and_recreation(식당,카페,쇼핑센터,테마파크,박물관,도서관,영화관 등)",grocery_and_pharmacy(식료품점과 약국),residential(Time spent at home; 집에서 보내기),transit_stations(교통수단),parks(공원),workplaces(Workplace visitors;직장 출근)
South Korea,KOR,20210901,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,1.286,25.143,4.143,-5.571,33,-1.143
South Korea,KOR,20210902,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,1.286,25.143,4.143,-5.571,32.286,-1.143
South Korea,KOR,20210903,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,2,26,3.714,-4.857,35.714,-1
South Korea,KOR,20210904,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,2.429,26.286,3.429,-4.286,37.143,-1
South Korea,KOR,20210905,64.29,3,2,2,4,0,0,2,0,2,3,2,3,5,3.143,26.857,3.143,-3.429,38.857,-0.857
South Korea,KOR,20210906,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,2.714,26.286,3.143,-3.571,34.857,-0.857
South Korea,KOR,20210907,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,3,27,3.143,-3.571,33.857,-1
South Korea,KOR,20210908,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,4,27.714,2.714,-2.571,38.143,-0.714
South Korea,KOR,20210909,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,4.571,28.143,2.429,-2,40.143,-0.429
South Korea,KOR,20210910,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,5.143,28.571,2.286,-1.714,40.429,-0.143
South Korea,KOR,20210911,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,5.714,29.143,2.286,-1.286,39.714,0.143
South Korea,KOR,20210912,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,6.714,28,2.286,-0.714,40.286,0.429
South Korea,KOR,20210913,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,8,30.286,2,0.143,44.571,0.714
South Korea,KOR,20210914,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,9.571,32.571,1.571,1.571,50,1
South Korea,KOR,20210915,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10.143,34.143,1.429,2,49.571,1
South Korea,KOR,20210916,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10.571,35.571,1.429,2.429,48.429,1
South Korea,KOR,20210917,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,11,37.429,1.714,2.571,46,0.714
South Korea,KOR,20210918,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,11.143,40.143,1.714,3.143,46,-0.429
South Korea,KOR,20210919,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,12,49.429,1.286,5,49.143,-1.571
South Korea,KOR,20210920,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,11.429,55.857,2.857,2.857,64.143,-13
South Korea,KOR,20210921,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,6.143,50.714,4,-0.143,73.571,-25.286
South Korea,KOR,20210922,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,4.429,47.286,6.143,-3.429,84.143,-35.857
South Korea,KOR,20210923,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,4.143,45.286,6.429,-4.286,87,-36.857
South Korea,KOR,20210924,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,3.714,42.429,6.429,-4.857,90.714,-37
South Korea,KOR,20210925,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,2.714,37.714,6.714,-6.286,90.857,-35.571
South Korea,KOR,20210926,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,1,26.286,7.429,-9.143,89.143,-34.143
South Korea,KOR,20210927,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,1.143,18.286,6,-7.286,74,-22.429
South Korea,KOR,20210928,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,6.143,21.571,5,-4.571,64.571,-9.857
South Korea,KOR,20210929,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,6.143,21.429,3.286,-2.714,48.143,0.714
South Korea,KOR,20210930,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,6.286,21.571,3,-2.143,46.857,2
South Korea,KOR,20211001,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,6.429,21.857,2.714,-1.571,46.286,2.571
South Korea,KOR,20211002,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,7.143,22.857,2.429,-0.714,48.286,2.143
South Korea,KOR,20211003,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,8.571,26.857,2,0.857,52.429,1.429
South Korea,KOR,20211004,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,9.429,27.286,3.571,-1.286,58.857,-5.857
South Korea,KOR,20211005,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,9.429,27.714,3.429,-1,59.857,-5.714
South Korea,KOR,20211006,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10.286,28.857,3.143,-0.143,64.286,-5.429
South Korea,KOR,20211007,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10,28.429,3.286,-0.429,63.143,-5.429
South Korea,KOR,20211008,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,9.571,27.857,3.286,-0.571,60.143,-5.429
South Korea,KOR,20211009,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,9.429,27.714,3.286,-0.429,61.143,-7
South Korea,KOR,20211010,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,8.714,24.286,3.429,-1.143,56.714,-7.286
South Korea,KOR,20211011,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,9.143,24.857,3.571,-1.143,55,-7.571
South Korea,KOR,20211012,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,9.143,24.857,3.571,-1.286,53.429,-7.571
South Korea,KOR,20211013,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,9.857,25.143,3.429,-0.857,56.714,-7.429
South Korea,KOR,20211014,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10.429,25.571,3.143,-0.429,59.143,-7.286
South Korea,KOR,20211015,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10.714,25.571,3.143,-0.286,60.857,-7.143
South Korea,KOR,20211016,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10.714,24.714,3.429,-1.286,53.286,-5.571
South Korea,KOR,20211017,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10.857,26.857,3.571,-1.857,49.571,-4.857
South Korea,KOR,20211018,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10,25.429,1.714,0.286,43.857,2.571
South Korea,KOR,20211019,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10.571,25.286,1.714,0.143,44.143,2.429
South Korea,KOR,20211020,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10.714,25.286,1.714,0.143,42.429,2.286
South Korea,KOR,20211021,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,10.714,24.714,1.857,0,39.857,2.143
South Korea,KOR,20211022,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,11.286,25.143,1.857,0.143,40.429,2
South Korea,KOR,20211023,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,12.143,26,1.429,1.429,46.143,2
South Korea,KOR,20211024,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,12.714,24,1.143,2.571,50.714,1.857
South Korea,KOR,20211025,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,13.286,24.857,1.143,3,53,1.857
South Korea,KOR,20211026,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,13.571,25.143,1,3.571,55.857,2
South Korea,KOR,20211027,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,13.714,25.143,0.857,3.714,57,2.143
South Korea,KOR,20211028,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,14.143,25.857,0.714,4,59,2.143
South Korea,KOR,20211029,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,14.286,26.143,0.571,4.143,60.571,2.286
South Korea,KOR,20211030,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,14,26.429,0.429,4.286,61.286,2.143
South Korea,KOR,20211031,61.9,2,2,2,4,0,0,2,0,2,3,2,3,5,14.143,29.571,0.286,4.571,62.571,2.286
South Korea,KOR,20211101,58.92,1,2,1,4,0,0,2,0,2,3,2,3,5,14,29.143,0.143,4.571,62.714,2.429
South Korea,KOR,20211102,58.92,1,2,1,4,0,0,2,0,2,3,2,3,5,14,29,0.143,4.571,62.714,2.571
South Korea,KOR,20211103,58.91,1,2,1,4,0,0,2,0,2,3,2,3,5,14.286,29,0.143,4.714,63.143,2.714
South Korea,KOR,20211104,58.9,1,2,1,4,0,0,2,0,2,3,2,3,5,14.143,28.429,0.143,4.714,62.571,2.857
South Korea,KOR,20211105,58.89,1,2,1,4,0,0,2,0,2,3,2,3,5,14.286,28.143,0,5,62.857,2.857
South Korea,KOR,20211106,58.89,1,2,1,4,0,0,2,0,2,3,2,3,5,14.857,27.714,-0.143,5.429,64,2.857
South Korea,KOR,20211107,58.89,1,2,1,4,0,0,2,0,2,3,2,3,5,15,26.857,-0.143,5.714,64.143,2.714
South Korea,KOR,20211108,58.88,1,2,1,4,0,0,2,0,2,3,2,3,5,13.143,24.714,0.286,4.286,54.286,2.429
South Korea,KOR,20211109,58.87,1,2,1,4,0,0,2,0,2,3,2,3,5,12.429,23.857,0.571,3.429,47.714,2.286
South Korea,KOR,20211110,58.86,1,2,1,4,0,0,2,0,2,3,2,3,5,12,23.714,0.714,2.857,42,2.143
South Korea,KOR,20211111,58.85,1,2,1,4,0,0,2,0,2,3,2,3,5,12,24.143,0.857,2.429,38.714,1.714
South Korea,KOR,20211112,58.84,1,2,1,4,0,0,2,0,2,3,2,3,5,11.714,23.857,1.143,1.857,34.857,1.286
South Korea,KOR,20211113,58.84,1,2,1,4,0,0,2,0,2,3,2,3,5,11.429,23.857,1.286,1.286,31.714,1
South Korea,KOR,20211114,58.84,1,2,1,4,0,0,2,0,2,3,2,3,5,11.143,21.286,1.286,1,28.571,0.571
South Korea,KOR,20211115,58.83,1,2,1,4,0,0,2,0,2,3,2,3,5,13,23.571,1,2.143,37.143,0.429
South Korea,KOR,20211116,58.83,1,2,1,4,0,0,2,0,2,3,2,3,5,13.857,24.429,0.857,2.714,42.286,0.143
